Epochs,learning_rate
0,0.001
1,0.001
2,0.0009997532801828658
3,0.0009990133642141358
4,0.001
5,0.0009997532801828658
6,0.0009990133642141358
7,0.00099778098230154
8,0.000996057350657239
9,0.001
10,0.0009997532801828658
11,0.0009990133642141358
12,0.00099778098230154
13,0.000996057350657239
14,0.001
15,0.0009997532801828658
16,0.0009997532801828658
17,0.0009990133642141358
18,0.00099778098230154
19,0.000996057350657239
20,0.0009938441702975688
21,0.001
22,0.0009997532801828658
23,0.001
24,0.0009997532801828658
25,0.0009990133642141358
26,0.00099778098230154
27,0.001
28,0.0009997532801828658
29,0.0009990133642141358
30,0.00099778098230154
31,0.000996057350657239
